Commit Hash,HIGH Confidence Issues,MEDIUM Confidence Issues,LOW Confidence Issues,HIGH Severity Issues,MEDIUM Severity Issues,LOW Severity Issues,Unique CWEs
54c27bef7d4b1e714ec14932d95bb167115680fb,50,0,0,1,14,35,"502, 20, 703, 22, 330, 327"
c252b84952ddd6eb4e9ba078da9435b817bda960,49,0,0,1,13,35,"502, 20, 703, 22, 330, 327"
24f1be22f04eebdd3a8bf93fd94705a0ca985f11,49,0,0,1,13,35,"502, 20, 703, 22, 330, 327"
10cfdc576428ae83b98c447cac44e0e9fa99cef2,49,0,0,1,13,35,"502, 20, 703, 22, 330, 327"
f50a6a2867b77250cbd375217d0f7f32297891d8,49,0,0,1,13,35,"502, 20, 703, 22, 330, 327"
166be5e13d0f3e9099dc38ae54bb36f812d79e09,26,0,0,1,9,16,"502, 20, 703, 22, 330, 327"
ba80a454bf6623c2e483ae1ac7f668956bd3d7f4,26,0,0,1,9,16,"502, 20, 703, 22, 330, 327"
1ac0db4c4454fdd5536641cf40b3633bc3cca35b,26,0,0,1,9,16,"502, 20, 703, 22, 330, 327"
ab1334951248b3d0ac9820b41c555b137b161d7a,26,0,0,1,9,16,"502, 20, 703, 22, 330, 327"
9d4eed73e335d9ce7ad03c3c100612179d896a76,26,0,0,1,9,16,"502, 20, 703, 22, 330, 327"
669378df398d3e7aa873c0f3a874c43fd514a6e9,26,0,0,1,9,16,"502, 20, 703, 22, 330, 327"
393c2d966aa37160bcfdef5f55ba50daff994409,26,0,0,1,9,16,"502, 20, 703, 22, 330, 327"
33e73a5abdc4cfe0438f84606b3254478745252b,26,0,0,1,9,16,"502, 20, 703, 22, 330, 327"
d84279e40c7b37929bee81094e23abab33f3abaa,26,0,0,1,9,16,"502, 20, 703, 22, 330, 327"
e152123ee2105e9825b8503a635e74f30319c998,26,0,0,1,9,16,"502, 20, 703, 22, 330, 327"
81791d49ce0c77893f904fe47824a08eaaad5324,26,0,0,1,9,16,"502, 20, 703, 22, 330, 327"
bf2f95e160b29dd755167bd9488d345e5259d100,26,0,0,1,9,16,"502, 20, 703, 22, 330, 327"
c6b9615eecea05794f0113942cf833a89b358cec,26,0,0,1,9,16,"502, 20, 703, 22, 330, 327"
89ba6731eec97450054d9107aad3a6e90c39b87c,26,0,0,1,9,16,"502, 20, 703, 22, 330, 327"
4227d49abaa7cecd796452cfe6de822bcbe7e08b,26,0,0,1,9,16,"502, 20, 703, 22, 330, 327"
c5747f6baf2bf1d6ef6741afd91d5f7b93b14cd0,26,0,0,1,9,16,"502, 20, 703, 22, 330, 327"
8d9d868a988a776c88ef2b32b6b3e7297789a67f,26,0,0,1,9,16,"502, 20, 703, 22, 330, 327"
a427761fb65f5a23f3c9b6a0333ad93403c7af85,26,0,0,1,9,16,"502, 20, 703, 22, 330, 327"
4546e73421c45d230db7ca2009f0a3ce50ae3d8d,26,0,0,1,9,16,"502, 20, 703, 22, 330, 327"
b371d2379e1ae45264333c2c16b95cd00e125a14,26,0,0,1,9,16,"502, 20, 703, 22, 330, 327"
3cbd7f9109c3c82e73bc4c4dc2856813cef831ff,26,0,0,1,9,16,"502, 20, 703, 22, 330, 327"
14d146b88d3bc15e851d249a1775a5253f292052,26,0,0,1,9,16,"502, 20, 703, 22, 330, 327"
77575a01208b21b89fa0bebd1499970372eb0c97,26,0,0,1,9,16,"502, 20, 703, 22, 330, 327"
a0f4908a83f549ce85c74d184608ec2c213e8157,26,0,0,1,9,16,"502, 20, 703, 22, 330, 327"
c58c7d80d26a1ee6282284224cd6a5738e63462c,26,0,0,1,9,16,"502, 20, 703, 22, 330, 327"
26784ac8abd69af0f552dc53066709c8f4e87b89,26,0,0,1,9,16,"502, 20, 703, 22, 330, 327"
